date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,NO,Norway,EURO,0,0,0,0
04-01-2020,NO,Norway,EURO,0,0,0,0
05-01-2020,NO,Norway,EURO,0,0,0,0
06-01-2020,NO,Norway,EURO,0,0,0,0
07-01-2020,NO,Norway,EURO,0,0,0,0
08-01-2020,NO,Norway,EURO,0,0,0,0
09-01-2020,NO,Norway,EURO,0,0,0,0
10-01-2020,NO,Norway,EURO,0,0,0,0
11-01-2020,NO,Norway,EURO,0,0,0,0
12-01-2020,NO,Norway,EURO,0,0,0,0
13-01-2020,NO,Norway,EURO,0,0,0,0
14-01-2020,NO,Norway,EURO,0,0,0,0
15-01-2020,NO,Norway,EURO,0,0,0,0
16-01-2020,NO,Norway,EURO,0,0,0,0
17-01-2020,NO,Norway,EURO,0,0,0,0
18-01-2020,NO,Norway,EURO,0,0,0,0
19-01-2020,NO,Norway,EURO,0,0,0,0
20-01-2020,NO,Norway,EURO,0,0,0,0
21-01-2020,NO,Norway,EURO,0,0,0,0
22-01-2020,NO,Norway,EURO,0,0,0,0
23-01-2020,NO,Norway,EURO,0,0,0,0
24-01-2020,NO,Norway,EURO,0,0,0,0
25-01-2020,NO,Norway,EURO,0,0,0,0
26-01-2020,NO,Norway,EURO,0,0,0,0
27-01-2020,NO,Norway,EURO,0,0,0,0
28-01-2020,NO,Norway,EURO,0,0,0,0
29-01-2020,NO,Norway,EURO,0,0,0,0
30-01-2020,NO,Norway,EURO,0,0,0,0
31-01-2020,NO,Norway,EURO,0,0,0,0
01-02-2020,NO,Norway,EURO,0,0,0,0
02-02-2020,NO,Norway,EURO,0,0,0,0
03-02-2020,NO,Norway,EURO,0,0,0,0
04-02-2020,NO,Norway,EURO,0,0,0,0
05-02-2020,NO,Norway,EURO,0,0,0,0
06-02-2020,NO,Norway,EURO,0,0,0,0
07-02-2020,NO,Norway,EURO,0,0,0,0
08-02-2020,NO,Norway,EURO,0,0,0,0
09-02-2020,NO,Norway,EURO,0,0,0,0
10-02-2020,NO,Norway,EURO,0,0,0,0
11-02-2020,NO,Norway,EURO,0,0,0,0
12-02-2020,NO,Norway,EURO,0,0,0,0
13-02-2020,NO,Norway,EURO,0,0,0,0
14-02-2020,NO,Norway,EURO,0,0,0,0
15-02-2020,NO,Norway,EURO,0,0,0,0
16-02-2020,NO,Norway,EURO,0,0,0,0
17-02-2020,NO,Norway,EURO,0,0,0,0
18-02-2020,NO,Norway,EURO,0,0,0,0
19-02-2020,NO,Norway,EURO,0,0,0,0
20-02-2020,NO,Norway,EURO,0,0,0,0
21-02-2020,NO,Norway,EURO,1,1,0,0
22-02-2020,NO,Norway,EURO,0,1,0,0
23-02-2020,NO,Norway,EURO,0,1,0,0
24-02-2020,NO,Norway,EURO,0,1,0,0
25-02-2020,NO,Norway,EURO,0,1,0,0
26-02-2020,NO,Norway,EURO,0,1,0,0
27-02-2020,NO,Norway,EURO,3,4,0,0
28-02-2020,NO,Norway,EURO,2,6,0,0
29-02-2020,NO,Norway,EURO,9,15,0,0
01-03-2020,NO,Norway,EURO,6,21,0,0
02-03-2020,NO,Norway,EURO,10,31,0,0
03-03-2020,NO,Norway,EURO,12,43,0,0
04-03-2020,NO,Norway,EURO,31,74,0,0
05-03-2020,NO,Norway,EURO,33,107,0,0
06-03-2020,NO,Norway,EURO,33,140,0,0
07-03-2020,NO,Norway,EURO,24,164,0,0
08-03-2020,NO,Norway,EURO,19,183,0,0
09-03-2020,NO,Norway,EURO,65,248,0,0
10-03-2020,NO,Norway,EURO,247,495,0,0
11-03-2020,NO,Norway,EURO,241,736,0,0
12-03-2020,NO,Norway,EURO,175,911,0,0
13-03-2020,NO,Norway,EURO,206,1117,0,0
14-03-2020,NO,Norway,EURO,147,1264,1,1
15-03-2020,NO,Norway,EURO,100,1364,0,1
16-03-2020,NO,Norway,EURO,99,1463,0,1
17-03-2020,NO,Norway,EURO,180,1643,0,1
18-03-2020,NO,Norway,EURO,176,1819,2,3
19-03-2020,NO,Norway,EURO,213,2032,0,3
20-03-2020,NO,Norway,EURO,239,2271,0,3
21-03-2020,NO,Norway,EURO,308,2579,3,6
22-03-2020,NO,Norway,EURO,174,2753,1,7
23-03-2020,NO,Norway,EURO,148,2901,0,7
24-03-2020,NO,Norway,EURO,296,3197,0,7
25-03-2020,NO,Norway,EURO,313,3510,1,8
26-03-2020,NO,Norway,EURO,292,3802,2,10
27-03-2020,NO,Norway,EURO,298,4100,2,12
28-03-2020,NO,Norway,EURO,262,4362,2,14
29-03-2020,NO,Norway,EURO,166,4528,2,16
30-03-2020,NO,Norway,EURO,106,4634,4,20
31-03-2020,NO,Norway,EURO,264,4898,2,22
01-04-2020,NO,Norway,EURO,208,5106,4,26
02-04-2020,NO,Norway,EURO,198,5304,2,28
03-04-2020,NO,Norway,EURO,198,5502,4,32
04-04-2020,NO,Norway,EURO,164,5666,10,42
05-04-2020,NO,Norway,EURO,88,5754,2,44
06-04-2020,NO,Norway,EURO,72,5826,6,50
07-04-2020,NO,Norway,EURO,159,5985,8,58
08-04-2020,NO,Norway,EURO,140,6125,1,59
09-04-2020,NO,Norway,EURO,106,6231,10,69
10-04-2020,NO,Norway,EURO,103,6334,11,80
11-04-2020,NO,Norway,EURO,68,6402,8,88
12-04-2020,NO,Norway,EURO,110,6512,4,92
13-04-2020,NO,Norway,EURO,76,6588,6,98
14-04-2020,NO,Norway,EURO,77,6665,5,103
15-04-2020,NO,Norway,EURO,122,6787,11,114
16-04-2020,NO,Norway,EURO,103,6890,13,127
17-04-2020,NO,Norway,EURO,80,6970,3,130
18-04-2020,NO,Norway,EURO,108,7078,6,136
19-04-2020,NO,Norway,EURO,49,7127,0,136
20-04-2020,NO,Norway,EURO,36,7163,12,148
21-04-2020,NO,Norway,EURO,84,7247,6,154
22-04-2020,NO,Norway,EURO,78,7325,0,154
23-04-2020,NO,Norway,EURO,77,7402,9,163
24-04-2020,NO,Norway,EURO,69,7471,6,169
25-04-2020,NO,Norway,EURO,53,7524,11,180
26-04-2020,NO,Norway,EURO,25,7549,11,191
27-04-2020,NO,Norway,EURO,37,7586,2,193
28-04-2020,NO,Norway,EURO,71,7657,0,193
29-04-2020,NO,Norway,EURO,50,7707,0,193
30-04-2020,NO,Norway,EURO,39,7746,2,195
01-05-2020,NO,Norway,EURO,39,7785,7,202
02-05-2020,NO,Norway,EURO,43,7828,2,204
03-05-2020,NO,Norway,EURO,23,7851,0,204
04-05-2020,NO,Norway,EURO,44,7895,0,204
05-05-2020,NO,Norway,EURO,45,7940,4,208
06-05-2020,NO,Norway,EURO,44,7984,0,208
07-05-2020,NO,Norway,EURO,39,8023,1,209
08-05-2020,NO,Norway,EURO,29,8052,0,209
09-05-2020,NO,Norway,EURO,42,8094,0,209
10-05-2020,NO,Norway,EURO,11,8105,4,213
11-05-2020,NO,Norway,EURO,12,8117,0,213
12-05-2020,NO,Norway,EURO,25,8142,4,217
13-05-2020,NO,Norway,EURO,19,8161,7,224
14-05-2020,NO,Norway,EURO,19,8180,4,228
15-05-2020,NO,Norway,EURO,24,8204,1,229
16-05-2020,NO,Norway,EURO,23,8227,3,232
17-05-2020,NO,Norway,EURO,13,8240,0,232
18-05-2020,NO,Norway,EURO,4,8244,0,232
19-05-2020,NO,Norway,EURO,17,8261,0,232
20-05-2020,NO,Norway,EURO,20,8281,1,233
21-05-2020,NO,Norway,EURO,19,8300,0,233
22-05-2020,NO,Norway,EURO,14,8314,1,234
23-05-2020,NO,Norway,EURO,26,8340,0,234
24-05-2020,NO,Norway,EURO,6,8346,1,235
25-05-2020,NO,Norway,EURO,6,8352,0,235
26-05-2020,NO,Norway,EURO,18,8370,0,235
27-05-2020,NO,Norway,EURO,12,8382,0,235
28-05-2020,NO,Norway,EURO,18,8400,0,235
29-05-2020,NO,Norway,EURO,16,8416,0,235
30-05-2020,NO,Norway,EURO,16,8432,1,236
31-05-2020,NO,Norway,EURO,0,8432,0,236
01-06-2020,NO,Norway,EURO,6,8438,0,236
02-06-2020,NO,Norway,EURO,7,8445,0,236
03-06-2020,NO,Norway,EURO,31,8476,0,236
04-06-2020,NO,Norway,EURO,12,8488,1,237
05-06-2020,NO,Norway,EURO,17,8505,0,237
06-06-2020,NO,Norway,EURO,30,8535,1,238
07-06-2020,NO,Norway,EURO,8,8543,0,238
08-06-2020,NO,Norway,EURO,9,8552,0,238
09-06-2020,NO,Norway,EURO,19,8571,0,238
10-06-2020,NO,Norway,EURO,13,8584,1,239
11-06-2020,NO,Norway,EURO,14,8598,0,239
12-06-2020,NO,Norway,EURO,11,8609,0,239
13-06-2020,NO,Norway,EURO,13,8622,3,242
14-06-2020,NO,Norway,EURO,7,8629,0,242
15-06-2020,NO,Norway,EURO,6,8635,0,242
16-06-2020,NO,Norway,EURO,18,8653,0,242
17-06-2020,NO,Norway,EURO,36,8689,0,242
18-06-2020,NO,Norway,EURO,15,8704,0,242
19-06-2020,NO,Norway,EURO,13,8717,1,243
20-06-2020,NO,Norway,EURO,18,8735,1,244
21-06-2020,NO,Norway,EURO,6,8741,0,244
22-06-2020,NO,Norway,EURO,4,8745,0,244
23-06-2020,NO,Norway,EURO,28,8773,0,244
24-06-2020,NO,Norway,EURO,13,8786,4,248
25-06-2020,NO,Norway,EURO,21,8807,0,248
26-06-2020,NO,Norway,EURO,17,8824,1,249
27-06-2020,NO,Norway,EURO,22,8846,0,249
28-06-2020,NO,Norway,EURO,10,8856,0,249
29-06-2020,NO,Norway,EURO,1,8857,0,249
30-06-2020,NO,Norway,EURO,26,8883,0,249
01-07-2020,NO,Norway,EURO,11,8894,0,249
02-07-2020,NO,Norway,EURO,8,8902,1,250
03-07-2020,NO,Norway,EURO,9,8911,1,251
04-07-2020,NO,Norway,EURO,10,8921,0,251
05-07-2020,NO,Norway,EURO,2,8923,0,251
06-07-2020,NO,Norway,EURO,1,8924,0,251
07-07-2020,NO,Norway,EURO,14,8938,0,251
08-07-2020,NO,Norway,EURO,10,8948,0,251
09-07-2020,NO,Norway,EURO,11,8959,0,251
10-07-2020,NO,Norway,EURO,8,8967,0,251
11-07-2020,NO,Norway,EURO,13,8980,1,252
12-07-2020,NO,Norway,EURO,4,8984,0,252
13-07-2020,NO,Norway,EURO,5,8989,0,252
14-07-2020,NO,Norway,EURO,19,9008,0,252
15-07-2020,NO,Norway,EURO,8,9016,1,253
16-07-2020,NO,Norway,EURO,6,9022,0,253
17-07-2020,NO,Norway,EURO,4,9026,0,253
18-07-2020,NO,Norway,EURO,12,9038,1,254
19-07-2020,NO,Norway,EURO,1,9039,1,255
20-07-2020,NO,Norway,EURO,3,9042,0,255
21-07-2020,NO,Norway,EURO,21,9063,0,255
22-07-2020,NO,Norway,EURO,6,9069,0,255
23-07-2020,NO,Norway,EURO,22,9091,0,255
24-07-2020,NO,Norway,EURO,6,9097,0,255
25-07-2020,NO,Norway,EURO,24,9121,0,255
26-07-2020,NO,Norway,EURO,6,9127,0,255
27-07-2020,NO,Norway,EURO,9,9136,0,255
28-07-2020,NO,Norway,EURO,24,9160,0,255
29-07-2020,NO,Norway,EURO,16,9176,0,255
30-07-2020,NO,Norway,EURO,37,9213,0,255
31-07-2020,NO,Norway,EURO,23,9236,0,255
01-08-2020,NO,Norway,EURO,72,9308,0,255
02-08-2020,NO,Norway,EURO,14,9322,0,255
03-08-2020,NO,Norway,EURO,13,9335,0,255
04-08-2020,NO,Norway,EURO,38,9373,0,255
05-08-2020,NO,Norway,EURO,40,9413,1,256
06-08-2020,NO,Norway,EURO,66,9479,0,256
07-08-2020,NO,Norway,EURO,79,9558,0,256
08-08-2020,NO,Norway,EURO,80,9638,0,256
09-08-2020,NO,Norway,EURO,35,9673,0,256
10-08-2020,NO,Norway,EURO,34,9707,0,256
11-08-2020,NO,Norway,EURO,63,9770,0,256
12-08-2020,NO,Norway,EURO,43,9813,0,256
13-08-2020,NO,Norway,EURO,63,9876,0,256
14-08-2020,NO,Norway,EURO,54,9930,0,256
15-08-2020,NO,Norway,EURO,76,10006,1,257
16-08-2020,NO,Norway,EURO,44,10050,4,261
17-08-2020,NO,Norway,EURO,27,10077,0,261
18-08-2020,NO,Norway,EURO,74,10151,0,261
19-08-2020,NO,Norway,EURO,58,10209,0,261
20-08-2020,NO,Norway,EURO,60,10269,1,262
21-08-2020,NO,Norway,EURO,50,10319,0,262
22-08-2020,NO,Norway,EURO,53,10372,2,264
23-08-2020,NO,Norway,EURO,45,10417,0,264
24-08-2020,NO,Norway,EURO,19,10436,0,264
25-08-2020,NO,Norway,EURO,67,10503,0,264
26-08-2020,NO,Norway,EURO,42,10545,0,264
27-08-2020,NO,Norway,EURO,40,10585,0,264
28-08-2020,NO,Norway,EURO,52,10637,0,264
29-08-2020,NO,Norway,EURO,84,10721,0,264
30-08-2020,NO,Norway,EURO,42,10763,0,264
31-08-2020,NO,Norway,EURO,50,10813,0,264
01-09-2020,NO,Norway,EURO,148,10961,0,264
02-09-2020,NO,Norway,EURO,115,11076,0,264
03-09-2020,NO,Norway,EURO,101,11177,0,264
04-09-2020,NO,Norway,EURO,125,11302,0,264
05-09-2020,NO,Norway,EURO,119,11421,0,264
06-09-2020,NO,Norway,EURO,73,11494,0,264
07-09-2020,NO,Norway,EURO,60,11554,0,264
08-09-2020,NO,Norway,EURO,132,11686,0,264
09-09-2020,NO,Norway,EURO,113,11799,0,264
10-09-2020,NO,Norway,EURO,124,11923,0,264
11-09-2020,NO,Norway,EURO,132,12055,0,264
12-09-2020,NO,Norway,EURO,119,12174,1,265
13-09-2020,NO,Norway,EURO,67,12241,0,265
14-09-2020,NO,Norway,EURO,78,12319,0,265
15-09-2020,NO,Norway,EURO,104,12423,0,265
16-09-2020,NO,Norway,EURO,132,12555,0,265
17-09-2020,NO,Norway,EURO,137,12692,0,265
18-09-2020,NO,Norway,EURO,117,12809,0,265
19-09-2020,NO,Norway,EURO,94,12903,1,266
20-09-2020,NO,Norway,EURO,58,12961,1,267
21-09-2020,NO,Norway,EURO,77,13038,0,267
22-09-2020,NO,Norway,EURO,163,13201,0,267
23-09-2020,NO,Norway,EURO,101,13302,0,267
24-09-2020,NO,Norway,EURO,143,13445,0,267
25-09-2020,NO,Norway,EURO,133,13578,0,267
26-09-2020,NO,Norway,EURO,130,13708,3,270
27-09-2020,NO,Norway,EURO,63,13771,0,270
28-09-2020,NO,Norway,EURO,54,13825,0,270
29-09-2020,NO,Norway,EURO,124,13949,0,270
30-09-2020,NO,Norway,EURO,110,14059,4,274
01-10-2020,NO,Norway,EURO,120,14179,0,274
02-10-2020,NO,Norway,EURO,131,14310,0,274
03-10-2020,NO,Norway,EURO,134,14444,0,274
04-10-2020,NO,Norway,EURO,110,14554,1,275
05-10-2020,NO,Norway,EURO,89,14643,0,275
06-10-2020,NO,Norway,EURO,209,14852,0,275
07-10-2020,NO,Norway,EURO,198,15050,0,275
08-10-2020,NO,Norway,EURO,199,15249,0,275
09-10-2020,NO,Norway,EURO,168,15417,0,275
10-10-2020,NO,Norway,EURO,141,15558,0,275
11-10-2020,NO,Norway,EURO,65,15623,0,275
12-10-2020,NO,Norway,EURO,78,15701,0,275
13-10-2020,NO,Norway,EURO,167,15868,0,275
14-10-2020,NO,Norway,EURO,155,16023,1,276
15-10-2020,NO,Norway,EURO,162,16185,1,277
16-10-2020,NO,Norway,EURO,141,16326,0,277
17-10-2020,NO,Norway,EURO,137,16463,1,278
18-10-2020,NO,Norway,EURO,88,16551,0,278
19-10-2020,NO,Norway,EURO,93,16644,0,278
20-10-2020,NO,Norway,EURO,219,16863,0,278
21-10-2020,NO,Norway,EURO,183,17046,0,278
22-10-2020,NO,Norway,EURO,221,17267,0,278
23-10-2020,NO,Norway,EURO,285,17552,1,279
24-10-2020,NO,Norway,EURO,367,17919,0,279
25-10-2020,NO,Norway,EURO,231,18150,0,279
26-10-2020,NO,Norway,EURO,202,18352,0,279
27-10-2020,NO,Norway,EURO,487,18839,0,279
28-10-2020,NO,Norway,EURO,391,19230,0,279
29-10-2020,NO,Norway,EURO,514,19744,1,280
30-10-2020,NO,Norway,EURO,431,20175,0,280
31-10-2020,NO,Norway,EURO,616,20791,1,281
01-11-2020,NO,Norway,EURO,385,21176,1,282
02-11-2020,NO,Norway,EURO,323,21499,0,282
03-11-2020,NO,Norway,EURO,647,22146,0,282
04-11-2020,NO,Norway,EURO,682,22828,0,282
05-11-2020,NO,Norway,EURO,690,23518,0,282
06-11-2020,NO,Norway,EURO,602,24120,0,282
07-11-2020,NO,Norway,EURO,650,24770,2,284
08-11-2020,NO,Norway,EURO,388,25158,1,285
09-11-2020,NO,Norway,EURO,385,25543,0,285
10-11-2020,NO,Norway,EURO,706,26249,0,285
11-11-2020,NO,Norway,EURO,603,26852,0,285
12-11-2020,NO,Norway,EURO,662,27514,0,285
13-11-2020,NO,Norway,EURO,637,28151,0,285
14-11-2020,NO,Norway,EURO,697,28848,6,291
15-11-2020,NO,Norway,EURO,379,29227,3,294
16-11-2020,NO,Norway,EURO,405,29632,0,294
17-11-2020,NO,Norway,EURO,721,30353,0,294
18-11-2020,NO,Norway,EURO,635,30988,0,294
19-11-2020,NO,Norway,EURO,652,31640,4,298
20-11-2020,NO,Norway,EURO,564,32204,1,299
21-11-2020,NO,Norway,EURO,519,32723,6,305
22-11-2020,NO,Norway,EURO,288,33011,1,306
23-11-2020,NO,Norway,EURO,279,33290,0,306
24-11-2020,NO,Norway,EURO,609,33899,0,306
25-11-2020,NO,Norway,EURO,415,34314,5,311
26-11-2020,NO,Norway,EURO,513,34827,3,314
27-11-2020,NO,Norway,EURO,477,35304,2,316
28-11-2020,NO,Norway,EURO,447,35751,0,316
29-11-2020,NO,Norway,EURO,236,35987,12,328
30-11-2020,NO,Norway,EURO,228,36215,0,328
01-12-2020,NO,Norway,EURO,448,36663,0,328
02-12-2020,NO,Norway,EURO,362,37025,4,332
03-12-2020,NO,Norway,EURO,420,37445,2,334
04-12-2020,NO,Norway,EURO,400,37845,17,351
05-12-2020,NO,Norway,EURO,381,38226,2,353
06-12-2020,NO,Norway,EURO,252,38478,1,354
07-12-2020,NO,Norway,EURO,262,38740,0,354
08-12-2020,NO,Norway,EURO,500,39240,0,354
09-12-2020,NO,Norway,EURO,392,39632,5,359
10-12-2020,NO,Norway,EURO,453,40085,2,361
11-12-2020,NO,Norway,EURO,435,40520,0,361
12-12-2020,NO,Norway,EURO,403,40923,21,382
13-12-2020,NO,Norway,EURO,256,41179,5,387
14-12-2020,NO,Norway,EURO,285,41464,0,387
15-12-2020,NO,Norway,EURO,544,42008,0,387
16-12-2020,NO,Norway,EURO,440,42448,6,393
17-12-2020,NO,Norway,EURO,450,42898,2,395
18-12-2020,NO,Norway,EURO,431,43329,7,402
19-12-2020,NO,Norway,EURO,475,43804,2,404
20-12-2020,NO,Norway,EURO,309,44113,0,404
21-12-2020,NO,Norway,EURO,299,44412,0,404
