date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,US,United States of America,AMRO,0,0,0,0
04-01-2020,US,United States of America,AMRO,0,0,0,0
05-01-2020,US,United States of America,AMRO,0,0,0,0
06-01-2020,US,United States of America,AMRO,0,0,0,0
07-01-2020,US,United States of America,AMRO,0,0,0,0
08-01-2020,US,United States of America,AMRO,0,0,0,0
09-01-2020,US,United States of America,AMRO,0,0,0,0
10-01-2020,US,United States of America,AMRO,0,0,0,0
11-01-2020,US,United States of America,AMRO,0,0,0,0
12-01-2020,US,United States of America,AMRO,0,0,0,0
13-01-2020,US,United States of America,AMRO,0,0,0,0
14-01-2020,US,United States of America,AMRO,0,0,0,0
15-01-2020,US,United States of America,AMRO,0,0,0,0
16-01-2020,US,United States of America,AMRO,0,0,0,0
17-01-2020,US,United States of America,AMRO,0,0,0,0
18-01-2020,US,United States of America,AMRO,0,0,0,0
19-01-2020,US,United States of America,AMRO,0,0,0,0
20-01-2020,US,United States of America,AMRO,5,5,0,0
21-01-2020,US,United States of America,AMRO,0,5,0,0
22-01-2020,US,United States of America,AMRO,0,5,0,0
23-01-2020,US,United States of America,AMRO,0,5,0,0
24-01-2020,US,United States of America,AMRO,31,36,0,0
25-01-2020,US,United States of America,AMRO,1,37,0,0
26-01-2020,US,United States of America,AMRO,1,38,0,0
27-01-2020,US,United States of America,AMRO,3,41,0,0
28-01-2020,US,United States of America,AMRO,3,44,0,0
29-01-2020,US,United States of America,AMRO,1,45,0,0
30-01-2020,US,United States of America,AMRO,1,46,0,0
31-01-2020,US,United States of America,AMRO,1,47,0,0
01-02-2020,US,United States of America,AMRO,2,49,0,0
02-02-2020,US,United States of America,AMRO,4,53,0,0
03-02-2020,US,United States of America,AMRO,3,56,0,0
04-02-2020,US,United States of America,AMRO,1,57,0,0
05-02-2020,US,United States of America,AMRO,7,64,0,0
06-02-2020,US,United States of America,AMRO,1,65,0,0
07-02-2020,US,United States of America,AMRO,1,66,0,0
08-02-2020,US,United States of America,AMRO,0,66,0,0
09-02-2020,US,United States of America,AMRO,1,67,0,0
10-02-2020,US,United States of America,AMRO,1,68,0,0
11-02-2020,US,United States of America,AMRO,2,70,0,0
12-02-2020,US,United States of America,AMRO,1,71,0,0
13-02-2020,US,United States of America,AMRO,2,73,0,0
14-02-2020,US,United States of America,AMRO,1,74,0,0
15-02-2020,US,United States of America,AMRO,2,76,0,0
16-02-2020,US,United States of America,AMRO,3,79,0,0
17-02-2020,US,United States of America,AMRO,2,81,0,0
18-02-2020,US,United States of America,AMRO,0,81,0,0
19-02-2020,US,United States of America,AMRO,6,87,0,0
20-02-2020,US,United States of America,AMRO,0,87,0,0
21-02-2020,US,United States of America,AMRO,1,88,0,0
22-02-2020,US,United States of America,AMRO,2,90,0,0
23-02-2020,US,United States of America,AMRO,9,99,0,0
24-02-2020,US,United States of America,AMRO,2,101,0,0
25-02-2020,US,United States of America,AMRO,1,102,0,0
26-02-2020,US,United States of America,AMRO,4,106,0,0
27-02-2020,US,United States of America,AMRO,5,111,0,0
28-02-2020,US,United States of America,AMRO,4,115,0,0
29-02-2020,US,United States of America,AMRO,11,126,1,1
01-03-2020,US,United States of America,AMRO,8,134,0,1
02-03-2020,US,United States of America,AMRO,19,153,1,2
03-03-2020,US,United States of America,AMRO,24,177,0,2
04-03-2020,US,United States of America,AMRO,41,218,5,7
05-03-2020,US,United States of America,AMRO,38,256,3,10
06-03-2020,US,United States of America,AMRO,44,300,1,11
07-03-2020,US,United States of America,AMRO,81,381,2,13
08-03-2020,US,United States of America,AMRO,78,459,2,15
09-03-2020,US,United States of America,AMRO,98,557,5,20
10-03-2020,US,United States of America,AMRO,191,748,4,24
11-03-2020,US,United States of America,AMRO,301,1049,7,31
12-03-2020,US,United States of America,AMRO,374,1423,5,36
13-03-2020,US,United States of America,AMRO,368,1791,12,48
14-03-2020,US,United States of America,AMRO,532,2323,7,55
15-03-2020,US,United States of America,AMRO,443,2766,8,63
16-03-2020,US,United States of America,AMRO,536,3302,12,75
17-03-2020,US,United States of America,AMRO,1381,4683,23,98
18-03-2020,US,United States of America,AMRO,1055,5738,18,116
19-03-2020,US,United States of America,AMRO,3108,8846,31,147
20-03-2020,US,United States of America,AMRO,3765,12611,67,214
21-03-2020,US,United States of America,AMRO,5045,17656,57,271
22-03-2020,US,United States of America,AMRO,3743,21399,70,341
23-03-2020,US,United States of America,AMRO,6037,27436,83,424
24-03-2020,US,United States of America,AMRO,9032,36468,81,505
25-03-2020,US,United States of America,AMRO,11224,47692,151,656
26-03-2020,US,United States of America,AMRO,10786,58478,206,862
27-03-2020,US,United States of America,AMRO,14073,72551,275,1137
28-03-2020,US,United States of America,AMRO,17135,89686,267,1404
29-03-2020,US,United States of America,AMRO,18547,108233,450,1854
30-03-2020,US,United States of America,AMRO,19444,127677,459,2313
31-03-2020,US,United States of America,AMRO,18136,145813,331,2644
01-04-2020,US,United States of America,AMRO,22395,168208,511,3155
02-04-2020,US,United States of America,AMRO,22834,191042,752,3907
03-04-2020,US,United States of America,AMRO,27357,218399,912,4819
04-04-2020,US,United States of America,AMRO,25982,244381,970,5789
05-04-2020,US,United States of America,AMRO,35131,279512,1067,6856
06-04-2020,US,United States of America,AMRO,30593,310105,1157,8013
07-04-2020,US,United States of America,AMRO,25511,335616,1364,9377
08-04-2020,US,United States of America,AMRO,42604,378220,3243,12620
09-04-2020,US,United States of America,AMRO,21975,400195,674,13294
10-04-2020,US,United States of America,AMRO,31714,431909,1958,15252
11-04-2020,US,United States of America,AMRO,31215,463124,2343,17595
12-04-2020,US,United States of America,AMRO,34595,497719,1640,19235
13-04-2020,US,United States of America,AMRO,32364,530083,1971,21206
14-04-2020,US,United States of America,AMRO,27973,558056,1380,22586
15-04-2020,US,United States of America,AMRO,24540,582596,597,23183
16-04-2020,US,United States of America,AMRO,25794,608390,2356,25539
17-04-2020,US,United States of America,AMRO,27172,635562,6508,32047
18-04-2020,US,United States of America,AMRO,29015,664577,2011,34058
19-04-2020,US,United States of America,AMRO,29978,694555,2451,36509
20-04-2020,US,United States of America,AMRO,29759,724314,1794,38303
21-04-2020,US,United States of America,AMRO,24371,748685,1878,40181
22-04-2020,US,United States of America,AMRO,29479,778164,2807,42988
23-04-2020,US,United States of America,AMRO,26339,804503,2820,45808
24-04-2020,US,United States of America,AMRO,26644,831147,1771,47579
25-04-2020,US,United States of America,AMRO,37063,868210,2489,50068
26-04-2020,US,United States of America,AMRO,30408,898618,1652,51720
27-04-2020,US,United States of America,AMRO,33630,932248,2017,53737
28-04-2020,US,United States of America,AMRO,27787,960035,1460,55197
29-04-2020,US,United States of America,AMRO,24270,984305,1423,56620
30-04-2020,US,United States of America,AMRO,24095,1008400,2253,58873
01-05-2020,US,United States of America,AMRO,26299,1034699,2474,61347
02-05-2020,US,United States of America,AMRO,31184,1065883,2264,63611
