tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
27-03-2020,2,0,0,2,2,0,0,2
28-03-2020,0,0,0,0,2,0,0,2
29-03-2020,0,0,0,0,2,0,0,2
30-03-2020,0,0,0,0,2,0,0,2
31-03-2020,0,0,0,0,2,0,0,2
01-04-2020,0,0,0,0,2,0,0,2
02-04-2020,0,0,0,0,2,0,0,2
03-04-2020,0,0,0,0,2,0,0,2
04-04-2020,0,0,0,0,2,0,0,2
05-04-2020,0,0,0,0,2,0,0,2
06-04-2020,0,0,0,0,2,0,0,2
07-04-2020,0,0,0,0,2,0,0,2
08-04-2020,0,0,0,0,2,0,0,2
09-04-2020,0,0,0,0,2,0,0,2
10-04-2020,0,0,0,0,2,0,0,2
11-04-2020,0,0,0,0,2,0,0,2
12-04-2020,0,0,0,0,2,0,0,2
13-04-2020,0,0,0,0,2,0,0,2
14-04-2020,0,0,0,0,2,0,0,2
15-04-2020,0,0,0,0,2,0,0,2
16-04-2020,3,0,0,3,5,0,0,5
17-04-2020,0,0,0,0,5,0,0,5
18-04-2020,0,0,0,0,5,0,0,5
19-04-2020,2,0,0,2,7,0,0,7
20-04-2020,0,0,0,0,7,0,0,7
21-04-2020,0,0,0,0,7,0,0,7
22-04-2020,1,0,0,1,8,0,0,8
23-04-2020,5,0,0,5,13,0,0,13
24-04-2020,2,0,0,2,15,0,0,15
25-04-2020,1,0,0,1,16,0,0,16
26-04-2020,0,0,0,0,16,0,0,16
27-04-2020,0,0,0,0,16,0,0,16
28-04-2020,21,0,0,21,37,0,0,37
29-04-2020,0,0,0,0,37,0,0,37
30-04-2020,0,0,0,0,37,0,0,37
01-05-2020,5,0,0,5,42,0,0,42
02-05-2020,1,0,0,1,43,0,0,43
03-05-2020,0,0,0,0,43,0,0,43
04-05-2020,0,0,0,0,43,0,0,43
05-05-2020,6,0,0,6,49,0,0,49
06-05-2020,4,0,0,4,53,0,0,53
07-05-2020,0,0,0,0,53,0,0,53
08-05-2020,0,0,0,0,53,0,0,53
09-05-2020,0,0,0,0,53,0,0,53
10-05-2020,17,0,2,15,70,2,0,68
11-05-2020,0,0,0,0,70,2,0,68
12-05-2020,0,0,0,0,70,2,0,68
13-05-2020,0,0,0,0,70,2,0,68
14-05-2020,18,0,0,18,88,2,0,86
15-05-2020,0,0,0,0,88,2,0,86
16-05-2020,14,0,3,11,102,5,0,97
17-05-2020,3,0,0,3,105,5,0,100
18-05-2020,0,0,0,0,105,5,0,100
19-05-2020,0,0,0,0,105,5,0,100
20-05-2020,1,0,1,0,106,6,0,100
21-05-2020,3,0,1,2,109,7,0,102
22-05-2020,10,0,4,6,119,11,0,108
23-05-2020,10,1,8,1,129,19,1,109
24-05-2020,1,0,0,1,130,19,1,110
25-05-2020,0,0,3,-3,130,22,1,107
