tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,1,0,0,1,1,0,0,1
27-03-2020,3,0,0,3,4,0,0,4
28-03-2020,1,0,0,1,5,0,0,5
29-03-2020,0,0,0,0,5,0,0,5
30-03-2020,0,0,0,0,5,0,0,5
31-03-2020,0,0,0,0,5,0,0,5
01-04-2020,0,0,0,0,5,0,0,5
02-04-2020,0,0,0,0,5,0,0,5
03-04-2020,0,0,0,0,5,0,0,5
04-04-2020,0,0,0,0,5,0,0,5
05-04-2020,0,0,0,0,5,0,0,5
06-04-2020,0,0,0,0,5,0,0,5
07-04-2020,0,0,0,0,5,0,0,5
08-04-2020,0,0,0,0,5,0,0,5
09-04-2020,0,0,1,-1,5,1,0,4
10-04-2020,0,0,0,0,5,1,0,4
11-04-2020,0,0,0,0,5,1,0,4
12-04-2020,0,0,0,0,5,1,0,4
13-04-2020,0,0,2,-2,5,3,0,2
14-04-2020,0,0,0,0,5,3,0,2
15-04-2020,0,0,0,0,5,3,0,2
16-04-2020,0,0,0,0,5,3,0,2
17-04-2020,0,0,0,0,5,3,0,2
18-04-2020,1,0,0,1,6,3,0,3
19-04-2020,1,0,0,1,7,3,0,4
20-04-2020,0,0,0,0,7,3,0,4
21-04-2020,0,0,0,0,7,3,0,4
22-04-2020,0,0,0,0,7,3,0,4
23-04-2020,0,1,0,-1,7,3,1,3
24-04-2020,1,0,0,1,8,3,1,4
25-04-2020,1,0,0,1,9,3,1,5
26-04-2020,0,0,0,0,9,3,1,5
27-04-2020,0,0,1,-1,9,4,1,4
28-04-2020,0,0,1,-1,9,5,1,3
29-04-2020,0,0,1,-1,9,6,1,2
30-04-2020,1,0,0,1,10,6,1,3
01-05-2020,1,0,0,1,11,6,1,4
02-05-2020,0,0,0,0,11,6,1,4
