tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
17-03-2020,1,1,0,0,1,0,1,0
18-03-2020,0,0,0,0,1,0,1,0
19-03-2020,0,0,0,0,1,0,1,0
20-03-2020,0,0,0,0,1,0,1,0
21-03-2020,0,0,0,0,1,0,1,0
22-03-2020,0,0,0,0,1,0,1,0
23-03-2020,0,0,0,0,1,0,1,0
24-03-2020,0,0,0,0,1,0,1,0
25-03-2020,0,0,0,0,1,0,1,0
26-03-2020,0,0,0,0,1,0,1,0
27-03-2020,0,1,0,-1,1,0,2,-1
28-03-2020,0,0,0,0,1,0,2,-1
29-03-2020,0,0,0,0,1,0,2,-1
30-03-2020,6,0,0,6,7,0,2,5
31-03-2020,6,2,0,4,13,0,4,9
01-04-2020,2,0,0,2,15,0,4,11
02-04-2020,0,0,0,0,15,0,4,11
03-04-2020,0,0,0,0,15,0,4,11
04-04-2020,3,1,0,2,18,0,5,13
05-04-2020,0,0,0,0,18,0,5,13
06-04-2020,1,0,0,1,19,0,5,14
07-04-2020,0,0,0,0,19,0,5,14
08-04-2020,29,0,0,29,48,0,5,43
09-04-2020,0,0,0,0,48,0,5,43
10-04-2020,7,0,8,-1,55,8,5,42
11-04-2020,0,3,0,-3,55,8,8,39
12-04-2020,10,0,0,10,65,8,8,49
13-04-2020,2,1,1,0,67,9,9,49
14-04-2020,5,0,1,4,72,10,9,53
15-04-2020,6,0,0,6,78,10,9,59
16-04-2020,1,0,3,-2,79,13,9,57
17-04-2020,0,0,0,0,79,13,9,57
18-04-2020,0,0,0,0,79,13,9,57
19-04-2020,2,0,0,2,81,13,9,59
20-04-2020,2,1,1,0,83,14,10,59
21-04-2020,1,0,0,1,84,14,10,60
22-04-2020,9,0,7,2,93,21,10,62
23-04-2020,2,1,0,1,95,21,11,63
24-04-2020,1,0,0,1,96,21,11,64
25-04-2020,9,1,0,8,105,21,12,72
26-04-2020,6,0,7,-1,111,28,12,71
27-04-2020,0,0,7,-7,111,35,12,64
28-04-2020,0,1,0,-1,111,35,13,63
29-04-2020,3,0,5,-2,114,40,13,61
30-04-2020,3,1,1,1,117,41,14,62
01-05-2020,0,0,0,0,117,41,14,62
02-05-2020,0,0,0,0,117,41,14,62
03-05-2020,6,0,0,6,123,41,14,68
04-05-2020,6,0,0,6,129,41,14,74
05-05-2020,1,0,2,-1,130,43,14,73
06-05-2020,11,5,0,6,141,43,19,79
07-05-2020,1,0,5,-4,142,48,19,75
08-05-2020,15,0,0,15,157,48,19,90
09-05-2020,22,5,0,17,179,48,24,107
10-05-2020,0,0,0,0,179,48,24,107
11-05-2020,17,3,0,14,196,48,27,121
12-05-2020,2,0,5,-3,198,53,27,118
13-05-2020,2,0,0,2,200,53,27,120
14-05-2020,2,0,0,2,202,53,27,122
15-05-2020,0,0,0,0,202,53,27,122
16-05-2020,0,0,0,0,202,53,27,122
17-05-2020,16,2,5,9,218,58,29,131
18-05-2020,7,1,0,6,225,58,30,137
19-05-2020,10,1,0,9,235,58,31,146
20-05-2020,15,2,16,-3,250,74,33,143
21-05-2020,23,1,0,22,273,74,34,165
22-05-2020,12,1,28,-17,285,102,35,148
23-05-2020,9,0,0,9,294,102,35,157
24-05-2020,17,1,7,9,311,109,36,166
25-05-2020,4,0,5,-1,315,114,36,165
26-05-2020,0,0,0,0,315,114,36,165
27-05-2020,17,1,2,14,332,116,37,179
28-05-2020,30,1,2,27,362,118,38,206
29-05-2020,38,0,0,38,400,118,38,244
30-05-2020,6,4,5,-3,406,123,42,241
31-05-2020,3,0,23,-20,409,146,42,221
01-06-2020,8,0,3,5,417,149,42,226
02-06-2020,1,0,2,-1,418,151,42,225
03-06-2020,26,2,9,15,444,160,44,240
04-06-2020,44,1,7,36,488,167,45,276
05-06-2020,48,1,5,42,536,172,46,318
06-06-2020,67,0,7,60,603,179,46,378
07-06-2020,0,0,0,0,603,179,46,378
08-06-2020,2,2,10,-10,605,189,48,368
09-06-2020,12,4,0,8,617,189,52,376
10-06-2020,18,1,4,13,635,193,53,389
11-06-2020,45,3,12,30,680,205,56,419
12-06-2020,83,1,0,82,763,205,57,501
13-06-2020,98,2,0,96,861,205,59,597
14-06-2020,8,0,7,1,869,212,59,598
15-06-2020,63,5,4,54,932,216,64,652
16-06-2020,25,2,6,17,957,222,66,669
17-06-2020,13,0,5,8,970,227,66,677
18-06-2020,23,0,7,16,993,234,66,693
19-06-2020,31,0,16,15,1024,250,66,708
20-06-2020,58,2,5,51,1082,255,68,759
21-06-2020,13,2,4,7,1095,259,70,766
22-06-2020,20,3,4,13,1115,263,73,779
23-06-2020,116,3,3,110,1231,266,76,889
24-06-2020,54,3,8,43,1285,274,79,932
25-06-2020,69,3,18,48,1354,292,82,980
26-06-2020,14,4,64,-54,1368,356,86,926
27-06-2020,75,5,18,52,1443,374,91,978
28-06-2020,22,0,10,12,1465,384,91,990
29-06-2020,12,0,18,-6,1477,402,91,984
30-06-2020,72,1,5,66,1549,407,92,1050
01-07-2020,50,5,13,32,1599,420,97,1082
02-07-2020,89,2,6,81,1688,426,99,1163
03-07-2020,33,1,13,19,1721,439,100,1182
04-07-2020,44,3,21,20,1765,460,103,1202
05-07-2020,12,0,19,-7,1777,479,103,1195
06-07-2020,19,4,7,8,1796,486,107,1203
