tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
28-03-2020,2,0,0,2,2,0,0,2
29-03-2020,0,0,0,0,2,0,0,2
30-03-2020,0,0,0,0,2,0,0,2
31-03-2020,0,0,0,0,2,0,0,2
01-04-2020,0,0,0,0,2,0,0,2
02-04-2020,0,0,0,0,2,0,0,2
03-04-2020,6,0,0,6,8,0,0,8
04-04-2020,0,0,0,0,8,0,0,8
05-04-2020,0,0,0,0,8,0,0,8
06-04-2020,7,0,0,7,15,0,0,15
07-04-2020,0,0,0,0,15,0,0,15
08-04-2020,1,0,0,1,16,0,0,16
09-04-2020,0,0,0,0,16,0,0,16
10-04-2020,0,0,0,0,16,0,0,16
11-04-2020,0,1,0,-1,16,0,1,15
12-04-2020,0,0,0,0,16,0,1,15
13-04-2020,0,0,0,0,16,0,1,15
14-04-2020,0,0,0,0,16,0,1,15
15-04-2020,4,0,1,3,20,1,1,18
16-04-2020,8,0,1,7,28,2,1,25
17-04-2020,19,0,0,19,47,2,1,44
18-04-2020,3,0,0,3,50,2,1,47
19-04-2020,19,0,0,19,69,2,1,66
20-04-2020,4,0,0,4,73,2,1,70
21-04-2020,4,0,0,4,77,2,1,74
22-04-2020,0,0,0,0,77,2,1,74
23-04-2020,0,0,0,0,77,2,1,74
24-04-2020,0,0,0,0,77,2,1,74
25-04-2020,6,0,0,6,83,2,1,80
26-04-2020,6,0,0,6,89,2,1,86
27-04-2020,1,0,0,1,90,2,1,87
28-04-2020,2,0,0,2,92,2,1,89
29-04-2020,0,0,2,-2,92,4,1,87
30-04-2020,8,0,0,8,100,4,1,95
01-05-2020,15,0,1,14,115,5,1,109
02-05-2020,7,0,0,7,122,5,1,116
03-05-2020,0,0,0,0,122,5,1,116
04-05-2020,8,0,0,8,130,5,1,124
05-05-2020,1,0,1,0,131,6,1,124
06-05-2020,0,0,0,0,131,6,1,124
07-05-2020,0,0,0,0,131,6,1,124
08-05-2020,0,0,0,0,131,6,1,124
09-05-2020,0,0,0,0,131,6,1,124
10-05-2020,0,0,1,-1,131,7,1,123
11-05-2020,1,0,0,1,132,7,1,124
12-05-2020,0,0,5,-5,132,12,1,119
13-05-2020,6,0,6,0,138,18,1,119
14-05-2020,0,0,2,-2,138,20,1,117
15-05-2020,3,0,9,-6,141,29,1,111
16-05-2020,12,0,12,0,153,41,1,111
17-05-2020,2,0,0,2,155,41,1,113
18-05-2020,0,0,5,-5,155,46,1,108
19-05-2020,5,0,5,0,160,51,1,108
20-05-2020,0,0,0,0,160,51,1,108
21-05-2020,2,0,3,-1,162,54,1,107
22-05-2020,1,0,3,-2,163,57,1,105
23-05-2020,0,0,0,0,163,57,1,105
24-05-2020,1,0,2,-1,164,59,1,104
25-05-2020,0,0,7,-7,164,66,1,97
26-05-2020,0,1,3,-4,164,69,2,93
27-05-2020,1,0,0,1,165,69,2,94
28-05-2020,0,0,1,-1,165,70,2,93
29-05-2020,0,0,2,-2,165,72,2,91
30-05-2020,0,0,0,0,165,72,2,91
31-05-2020,0,0,0,0,165,72,2,91
01-06-2020,0,0,8,-8,165,80,2,83
02-06-2020,0,0,2,-2,165,82,2,81
03-06-2020,0,0,7,-7,165,89,2,74
04-06-2020,0,0,0,0,165,89,2,74
05-06-2020,2,0,5,-3,167,94,2,71
06-06-2020,1,0,14,-13,168,108,2,58
07-06-2020,1,0,11,-10,169,119,2,48
08-06-2020,0,0,10,-10,169,129,2,38
09-06-2020,1,0,1,0,170,130,2,38
10-06-2020,0,0,3,-3,170,133,2,35
11-06-2020,0,0,2,-2,170,135,2,33
12-06-2020,0,0,0,0,170,135,2,33
13-06-2020,0,0,2,-2,170,137,2,31
14-06-2020,0,0,0,0,170,137,2,31
15-06-2020,0,0,0,0,170,137,2,31
16-06-2020,1,0,8,-7,171,145,2,24
17-06-2020,0,0,0,0,171,145,2,24
18-06-2020,0,0,2,-2,171,147,2,22
19-06-2020,2,0,2,0,173,149,2,22
20-06-2020,2,0,0,2,175,149,2,24
21-06-2020,1,0,0,1,176,149,2,25
22-06-2020,1,0,0,1,177,149,2,26
23-06-2020,0,0,0,0,177,149,2,26
24-06-2020,2,0,2,0,179,151,2,26
25-06-2020,9,0,0,9,188,151,2,35
26-06-2020,9,0,0,9,197,151,2,44
27-06-2020,4,0,3,1,201,154,2,45
28-06-2020,0,0,3,-3,201,157,2,42
29-06-2020,3,0,0,3,204,157,2,45
30-06-2020,2,0,2,0,206,159,2,45
01-07-2020,0,0,5,-5,206,164,2,40
02-07-2020,0,0,1,-1,206,165,2,39
03-07-2020,0,0,6,-6,206,171,2,33
04-07-2020,0,0,3,-3,206,174,2,30
05-07-2020,0,0,0,0,206,174,2,30
06-07-2020,0,0,0,0,206,174,2,30
07-07-2020,0,0,3,-3,206,177,2,27
08-07-2020,0,0,1,-1,206,178,2,26
09-07-2020,8,0,9,-1,214,187,2,25
10-07-2020,0,0,1,-1,214,188,2,24
11-07-2020,0,0,0,0,214,188,2,24
12-07-2020,0,0,0,0,214,188,2,24
13-07-2020,1,0,0,1,215,188,2,25
14-07-2020,0,0,0,0,215,188,2,25
15-07-2020,0,0,0,0,215,188,2,25
16-07-2020,0,0,1,-1,215,189,2,24
17-07-2020,1,0,2,-1,216,191,2,23
18-07-2020,0,0,1,-1,216,192,2,22
19-07-2020,0,0,0,0,216,192,2,22
20-07-2020,1,0,17,-16,217,209,2,6
21-07-2020,0,0,0,0,217,209,2,6
22-07-2020,0,0,0,0,217,209,2,6
23-07-2020,1,0,0,1,218,209,2,7
24-07-2020,0,0,2,-2,218,211,2,5
25-07-2020,48,0,1,47,266,212,2,52
26-07-2020,0,0,0,0,266,212,2,52
27-07-2020,0,0,2,-2,266,214,2,50
28-07-2020,2,0,0,2,268,214,2,52
29-07-2020,0,0,0,0,268,214,2,52
30-07-2020,12,0,0,12,280,214,2,64
31-07-2020,3,0,0,3,283,214,2,67
01-08-2020,1,0,0,1,284,214,2,68
02-08-2020,0,0,0,0,284,214,2,68
03-08-2020,0,0,1,-1,284,215,2,67
04-08-2020,3,0,50,-47,287,265,2,20
05-08-2020,0,0,0,0,287,265,2,20
06-08-2020,4,0,0,4,291,265,2,24
07-08-2020,0,0,0,0,291,265,2,24
08-08-2020,1,0,0,1,292,265,2,25
09-08-2020,2,0,1,1,294,266,2,26
10-08-2020,2,0,13,-11,296,279,2,15
11-08-2020,3,0,0,3,299,279,2,18
12-08-2020,4,0,0,4,303,279,2,22
13-08-2020,9,0,7,2,312,286,2,24
14-08-2020,0,0,0,0,312,286,2,24
15-08-2020,13,0,0,13,325,286,2,37
16-08-2020,3,0,0,3,328,286,2,40
17-08-2020,1,0,2,-1,329,288,2,39
18-08-2020,0,0,6,-6,329,294,2,33
19-08-2020,3,0,4,-1,332,298,2,32
20-08-2020,5,0,0,5,337,298,2,37
21-08-2020,2,0,0,2,339,298,2,39
22-08-2020,1,0,9,-8,340,307,2,31
23-08-2020,9,0,4,5,349,311,2,36
24-08-2020,8,0,3,5,357,314,2,41
25-08-2020,3,0,2,1,360,316,2,42
26-08-2020,1,0,2,-1,361,318,2,41
27-08-2020,0,0,2,-2,361,320,2,39
28-08-2020,12,0,3,9,373,323,2,48
29-08-2020,6,0,1,5,379,324,2,53
30-08-2020,3,0,1,2,382,325,2,55
31-08-2020,2,0,4,-2,384,329,2,53
01-09-2020,8,0,6,2,392,335,2,55
02-09-2020,4,0,1,3,396,336,2,58
03-09-2020,26,0,15,11,422,351,2,69
04-09-2020,4,0,5,-1,426,356,2,68
05-09-2020,9,0,3,6,435,359,2,74
06-09-2020,8,0,0,8,443,359,2,82
07-09-2020,5,0,1,4,448,360,2,86
08-09-2020,7,0,7,0,455,367,2,86
09-09-2020,1,0,1,0,456,368,2,86
10-09-2020,2,0,6,-4,458,374,2,82
11-09-2020,2,0,4,-2,460,378,2,80
12-09-2020,5,1,1,3,465,379,3,83
13-09-2020,4,0,6,-2,469,385,3,81
14-09-2020,5,0,9,-4,474,394,3,77
15-09-2020,5,0,0,5,479,394,3,82
16-09-2020,2,0,10,-8,481,404,3,74
17-09-2020,2,0,8,-6,483,412,3,68
18-09-2020,2,0,4,-2,485,416,3,66
19-09-2020,3,0,5,-2,488,421,3,64
20-09-2020,1,0,0,1,489,421,3,65
21-09-2020,3,0,2,1,492,423,3,66
22-09-2020,11,0,6,5,503,429,3,71
23-09-2020,29,0,4,25,532,433,3,96
24-09-2020,18,0,1,17,550,434,3,113
25-09-2020,6,1,14,-9,556,448,4,104
26-09-2020,7,0,0,7,563,448,4,111
27-09-2020,6,0,2,4,569,450,4,115
28-09-2020,4,0,0,4,573,450,4,119
29-09-2020,2,0,1,1,575,451,4,120
30-09-2020,2,0,44,-42,577,495,4,78
01-10-2020,6,0,7,-1,583,502,4,77
02-10-2020,6,0,1,5,589,503,4,82
03-10-2020,7,0,21,-14,596,524,4,68
04-10-2020,7,1,4,2,603,528,5,70
05-10-2020,2,0,3,-1,605,531,5,69
06-10-2020,5,0,19,-14,610,550,5,55
07-10-2020,13,0,3,10,623,553,5,65
08-10-2020,6,0,2,4,629,555,5,69
09-10-2020,3,0,4,-1,632,559,5,68
10-10-2020,5,0,7,-2,637,566,5,66
11-10-2020,8,0,2,6,645,568,5,72
12-10-2020,4,0,0,4,649,568,5,76
13-10-2020,13,0,6,7,662,574,5,83
14-10-2020,11,0,10,1,673,584,5,84
15-10-2020,0,0,4,-4,673,588,5,80
16-10-2020,14,0,5,9,687,593,5,89
17-10-2020,4,0,4,0,691,597,5,89
18-10-2020,23,1,13,9,714,610,6,98
19-10-2020,1,0,9,-8,715,619,6,90
20-10-2020,0,0,0,0,715,619,6,90
21-10-2020,20,1,9,10,735,628,7,100
22-10-2020,17,0,5,12,752,633,7,112
23-10-2020,9,0,12,-3,761,645,7,109
24-10-2020,5,0,9,-4,766,654,7,105
25-10-2020,14,0,8,6,780,662,7,111
26-10-2020,2,0,2,0,782,664,7,111
27-10-2020,9,0,8,1,791,672,7,112
28-10-2020,14,0,7,7,805,679,7,119
29-10-2020,9,0,4,5,814,683,7,124
30-10-2020,7,0,0,7,821,683,7,131
31-10-2020,1,0,18,-17,822,701,7,114
01-11-2020,4,0,15,-11,826,716,7,103
02-11-2020,3,1,6,-4,829,722,8,99
03-11-2020,12,1,7,4,841,729,9,103
04-11-2020,15,0,3,12,856,732,9,115
05-11-2020,16,0,20,-4,872,752,9,111
06-11-2020,7,1,7,-1,879,759,10,110
07-11-2020,11,0,14,-3,890,773,10,107
08-11-2020,3,0,10,-7,893,783,10,100
09-11-2020,4,0,3,1,897,786,10,101
10-11-2020,6,0,7,-1,903,793,10,100
11-11-2020,12,0,9,3,915,802,10,103
12-11-2020,13,1,0,12,928,802,11,115
13-11-2020,6,0,7,-1,934,809,11,114
14-11-2020,0,0,20,-20,934,829,11,94
15-11-2020,1,0,14,-13,935,843,11,81
16-11-2020,0,0,0,0,935,843,11,81
17-11-2020,0,0,10,-10,935,853,11,71
18-11-2020,14,0,0,14,949,853,11,85
19-11-2020,0,0,3,-3,949,856,11,82
20-11-2020,48,0,1,47,997,857,11,129
21-11-2020,31,0,0,31,1028,857,11,160
22-11-2020,48,4,11,33,1076,868,15,193
23-11-2020,10,0,16,-6,1086,884,15,187
24-11-2020,89,0,6,83,1175,890,15,270
25-11-2020,48,0,1,47,1223,891,15,317
26-11-2020,37,1,7,29,1260,898,16,346
27-11-2020,57,1,5,51,1317,903,17,397
28-11-2020,33,0,5,28,1350,908,17,425
29-11-2020,31,0,7,24,1381,915,17,449
30-11-2020,24,1,28,-5,1405,943,18,444
01-12-2020,58,0,13,45,1463,956,18,489
02-12-2020,69,0,21,48,1532,977,18,537
03-12-2020,30,0,6,24,1562,983,18,561
04-12-2020,32,0,47,-15,1594,1030,18,546
05-12-2020,61,0,0,61,1655,1030,18,607
06-12-2020,120,1,25,94,1775,1055,19,701
07-12-2020,46,1,1,44,1821,1056,20,745
08-12-2020,36,3,0,33,1857,1056,23,778
09-12-2020,31,0,74,-43,1888,1130,23,735
10-12-2020,58,1,0,57,1946,1130,24,792
11-12-2020,71,1,0,70,2017,1130,25,862
