tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
26-03-2020,1,0,0,1,1,0,0,1
27-03-2020,0,0,0,0,1,0,0,1
28-03-2020,1,0,0,1,2,0,0,2
29-03-2020,0,0,0,0,2,0,0,2
30-03-2020,0,0,0,0,2,0,0,2
31-03-2020,0,0,0,0,2,0,0,2
01-04-2020,0,0,0,0,2,0,0,2
02-04-2020,0,1,0,-1,2,0,1,1
03-04-2020,2,1,0,1,4,0,2,2
04-04-2020,0,0,0,0,4,0,2,2
05-04-2020,1,0,0,1,5,0,2,3
06-04-2020,0,0,0,0,5,0,2,3
07-04-2020,0,0,2,-2,5,2,2,1
08-04-2020,0,0,0,0,5,2,2,1
09-04-2020,0,0,0,0,5,2,2,1
10-04-2020,9,0,0,9,14,2,2,10
11-04-2020,5,0,0,5,19,2,2,15
12-04-2020,0,0,0,0,19,2,2,15
13-04-2020,0,1,0,-1,19,2,3,14
14-04-2020,0,0,0,0,19,2,3,14
15-04-2020,3,0,0,3,22,2,3,17
16-04-2020,0,0,0,0,22,2,3,17
17-04-2020,2,0,0,2,24,2,3,19
18-04-2020,0,0,0,0,24,2,3,19
19-04-2020,3,0,0,3,27,2,3,22
20-04-2020,0,0,0,0,27,2,3,22
21-04-2020,0,0,1,-1,27,3,3,21
22-04-2020,2,0,0,2,29,3,3,23
23-04-2020,0,0,0,0,29,3,3,23
24-04-2020,3,0,0,3,32,3,3,26
25-04-2020,4,0,0,4,36,3,3,30
26-04-2020,0,0,1,-1,36,4,3,29
27-04-2020,0,0,0,0,36,4,3,29
28-04-2020,6,0,4,2,42,8,3,31
29-04-2020,5,0,0,5,47,8,3,36
30-04-2020,0,0,0,0,47,8,3,36
01-05-2020,0,0,3,-3,47,11,3,33
02-05-2020,12,0,0,12,59,11,3,45
03-05-2020,0,0,0,0,59,11,3,45
04-05-2020,0,0,0,0,59,11,3,45
05-05-2020,11,0,1,10,70,12,3,55
06-05-2020,0,0,0,0,70,12,3,55
07-05-2020,5,0,0,5,75,12,3,60
08-05-2020,0,0,0,0,75,12,3,60
09-05-2020,0,0,0,0,75,12,3,60
10-05-2020,8,0,0,8,83,12,3,68
11-05-2020,0,0,1,-1,83,13,3,67
12-05-2020,12,0,0,12,95,13,3,79
13-05-2020,7,1,7,-1,102,20,4,78
14-05-2020,9,0,1,8,111,21,4,86
15-05-2020,1,0,0,1,112,21,4,87
16-05-2020,1,0,1,0,113,22,4,87
17-05-2020,2,0,2,0,115,24,4,87
18-05-2020,0,0,2,-2,115,26,4,85
19-05-2020,0,0,0,0,115,26,4,85
20-05-2020,0,0,0,0,115,26,4,85
21-05-2020,2,0,11,-9,117,37,4,76
22-05-2020,1,0,0,1,118,37,4,77
23-05-2020,2,0,0,2,120,37,4,79
24-05-2020,0,0,9,-9,120,46,4,70
25-05-2020,0,0,0,0,120,46,4,70
26-05-2020,0,0,2,-2,120,48,4,68
27-05-2020,0,0,2,-2,120,50,4,66
28-05-2020,6,0,2,4,126,52,4,70
29-05-2020,0,0,0,0,126,52,4,70
30-05-2020,0,0,0,0,126,52,4,70
31-05-2020,2,0,9,-7,128,61,4,63
01-06-2020,0,0,0,0,128,61,4,63
02-06-2020,0,0,0,0,128,61,4,63
03-06-2020,1,0,3,-2,129,64,4,61
